chr	start	end	ctype	areaStat
chr21	8442558	8443039	N	3381.0243299833965
chr21	8433382	8433860	N	1768.27076013037
chr15	99105651	99106054	T	1534.0913357808913
chr21	8216946	8217240	N	1509.0807242260198
chr22	20425761	20426066	T	1417.0638972676034
chr21	8443288	8443607	N	1360.3322519570356
chr15	78264656	78265161	T	1320.9030002418976
chr1	160084096	160084438	T	1290.7986499012522
chr21	8214787	8215048	N	1220.0265672664827
chr20	45097768	45098133	T	1197.558930930436
chr1	155062653	155063161	T	1159.2341221064771
chr19	14089345	14089805	T	1152.950928160797
chr7	143835156	143835485	T	1134.464146338526
chr7	155372092	155372576	T	1112.3876594263966
chr1	21814275	21814660	T	1103.360212345905
chr14	60642354	60642704	T	1097.7001740347823
chr17	2057429	2057719	T	1090.049434561059
chr22	20425304	20425683	T	1084.9099238754206
chr1	16707389	16707856	T	1078.5034212786304
chr3	197003493	197003969	T	1075.7532224778852
chr8	125339994	125340385	T	1045.5174030744329
chr6	34465878	34466384	T	1044.3586458292857
chr4	80203281	80203728	T	1042.327105442754
chr22_KI270733v1_random	131097	131375	N	1039.3316448921105
chr8	144472892	144473338	T	1026.6387806459998
chr22	19761165	19761665	T	1026.5535329991872
chr6	5086170	5086682	T	1026.0673739972754
chr21	8436628	8436761	N	1014.9416420063352
chr8	80158468	80158938	T	1014.3359043738836
chr7	47537060	47537526	T	1009.1217568141864
chr9	137461906	137462398	T	1001.6881145943124
chr10	101062564	101062977	T	999.429480229117
chr15	96984293	96984710	N	968.4642640101364
chr21	8436310	8436596	N	968.2040094322292
chr8	142464331	142464816	T	958.695695452192
chr1	110211202	110211697	T	957.824474023988
chr11	2883720	2884214	T	945.2993493293188
chr4	166850454	166850879	N	935.9273078892184
chr7	128351340	128351812	T	935.6323967974932
chrUn_GL000220v1	148273	148419	N	934.276867506036
chr20	55083932	55084408	N	933.346101750316
chr1	179645145	179645469	N	932.8799510211164
chr6	137044584	137045049	T	930.8283168942788
chr3	32818527	32818800	T	927.9591448210886
chr19	45152233	45152650	T	924.2641938711558
chr16	31214818	31215193	T	921.3498954061752
chr17	38510223	38510518	T	912.589794117459
chr15	22787131	22787514	T	911.100538633288
chr5	139543338	139543786	T	908.8146810097296
chr3	36944841	36945350	T	903.1198175267582
chr12	122204321	122204777	T	902.2503964483748
chr11	133289316	133289828	N	902.1881305334136
chr2	239945039	239945543	T	899.5379058265426
chr1	151838822	151839279	T	897.4798412557966
chr22_KI270733v1_random	133139	133411	N	895.2548150481525
chr17	47423414	47423702	T	894.7774757246134
chr22	50178097	50178574	T	894.721279883297
chr7	149692520	149693016	T	893.7438907624401
chr19	55383331	55383822	T	892.5350533839651
chr11	66048956	66049348	T	888.9569352474564
chr9	71912465	71912874	N	887.8333642615735
chr20	37384092	37384543	T	884.9492463249007
chr2	237690910	237691415	T	884.5828616782292
chr6	29553627	29554078	T	881.8266329946582
chr6	138795809	138796303	T	881.2354761322094
chr12	32390894	32391369	T	873.0884674743484
chr8	19313546	19314028	T	871.324343988178
chr17	59153719	59154073	N	871.21864269959
chr4	178015050	178015522	N	866.5040920373604
chr3	49006667	49007089	T	864.677365394733
chr22	37825067	37825264	T	857.9536580145109
chr17	1271009	1271404	T	856.2099303434507
chr3	160449876	160450315	T	853.420662037046
chr20	58228134	58228640	T	852.5324147919728
chr16	26484078	26484351	N	851.3846338616431
chr20	3237998	3238433	T	850.6377540863823
chr16	69965452	69965907	T	845.739750644705
chr9	84140704	84141184	T	840.1340016339263
chr2	72920182	72920674	T	831.5041994211533
chr16	2341748	2342205	T	830.3658333730355
chr7	123527894	123528288	N	827.152002758361
chr13	91982876	91983324	N	822.6876112754271
chr19	4694376	4694869	N	820.8484342871443
chr3	48040192	48040632	N	817.6782399306458
chr3	45146047	45146395	T	816.9915161073886
chr14	40954492	40954934	N	815.662579188237
chr7	27143465	27143858	T	814.0971386219762
chr9	107488394	107488810	T	813.8240621883388
chr2	24010083	24010579	T	813.3588766168759
chr19	10514370	10514877	T	811.4827324523967
chr9	136844931	136845323	T	808.7688178872577
chr17	9022657	9023038	T	806.6019868642488
chr3	132951552	132952015	N	805.2160015617837
chr19	11578734	11579241	T	805.1223600041922
chr9	35972106	35972513	T	805.0365700114708
chr8	81280091	81280483	T	804.4674337635797
chr14	30874067	30874405	T	804.2876848091519
chr17	82075272	82075682	T	802.1780297421137
chr5	77077351	77077714	T	801.1849890735475
chr9	122126345	122126832	T	800.9774226039171
chr6	108164516	108165001	T	799.8120215414783
chr6	24494363	24494822	T	799.2179258649039
chr13	49220828	49221202	T	798.7245388141173
chr19	55383909	55384172	T	797.8385937408459
chr7	120554468	120554834	N	795.8257321670981
chr14	93939254	93939689	T	794.9378234942733
chr9	121299593	121299881	T	789.4267806044436
chr1	32319908	32320300	T	787.3671586167106
chr6	341191	341579	T	782.9914043979711
chrX	40158379	40158840	T	782.6253747796204
chr1	160789748	160790108	T	779.800049522205
chr5	173232554	173232887	T	775.9486285300154
chr5	31639609	31640047	T	774.7992034439803
chr22	41799742	41800206	T	774.532198997018
chr20	21962090	21962510	N	770.8302754836295
chr1	247112086	247112414	T	768.9661775845034
chr10	72087895	72088404	T	768.0989143212873
chr3	184601960	184602463	T	767.8965665396236
chr7	115829366	115829844	N	767.2743096579807
chr7	147802135	147802602	N	767.2530378479805
chr5	140146042	140146551	T	766.7564805865941
chr2	96470578	96470920	T	765.6257592415468
chr8	143950579	143950955	N	765.4135641537941
chr1	47416859	47417250	T	762.6036859087235
chr12	12612892	12613358	N	761.2244919927189
chr12	95548997	95549428	T	760.854877690872
chr3	134313061	134313472	T	757.5662536522341
chr7	32464525	32465028	N	756.9759124756165
chr8	104466587	104466904	T	756.3702078210272
chr22	34540142	34540423	N	753.666820722684
chr12	116560108	116560498	T	751.8576519921148
chr7	2720879	2721250	T	751.5170838679887
chr1	16692514	16692906	T	751.0892694352497
chr9_KI270719v1_random	169570	170035	N	750.1873970439119
chr3	155854851	155855279	T	749.885229189551
chr10	71396198	71396699	T	747.5352716496609
chr22	37848539	37848831	T	745.2972100450197
chr1	25617736	25618199	T	744.9253764241839
chr3	138945559	138946002	T	744.3298952150017
chr10	92239734	92240029	T	744.058004069037
chr11	88509158	88509594	T	741.540573524604
chr15	101199268	101199756	T	740.1624260676322
chr19	3576792	3577279	T	739.9855187541853
chr4	1249912	1250422	T	737.9938872499506
chr2	25204432	25204873	T	737.5239310491634
chr4	57717163	57717467	N	734.5461056595623
chr14	94218322	94218743	N	734.2003283616468
chr3	65508120	65508360	N	734.1598776828278
chr15	62164371	62164743	T	732.0996794453754
chr17	7589320	7589626	T	730.5698654319481
chrUn_GL000220v1	158225	158486	N	730.4999185838387
chr1	39639502	39639795	T	730.0068070220264
chr2	176071814	176072153	T	729.5667673636408
chrX	101659482	101659965	T	728.6413308066035
chr1	153894578	153894884	T	727.7510821982064
chr7	127347884	127348208	T	726.6433116012149
chr1	30881302	30881650	T	725.1703966366481
chr22	30080085	30080518	T	723.2995724566426
chr8	144266516	144266818	T	722.5632042838006
chr19	2251307	2251616	T	720.7246636726318
chr12	100199329	100199716	T	720.4277883675031
chr7	142267446	142267777	N	720.3625935329919
chr16	71224583	71224856	N	720.3559386208854
chr3	65509311	65509736	N	719.9273134472005
chr16	7653654	7654087	N	718.824493548419
chrUn_GL000220v1	150249	150646	N	718.1229502480128
chr16	639180	639574	T	714.2628597118219
chr13	99895801	99896110	T	713.9556761217291
chr2	153719467	153719930	N	710.6282349554058
chr4	2817822	2818291	T	709.4280163042358
chr17	17783314	17783628	T	708.7100636133137
chr4	159048130	159048639	N	707.9399460843065
chr6	18122388	18122837	T	706.6638803293063
chr19	13098947	13099406	T	705.515326972054
chr1	242051141	242051589	N	702.9827947458925
chr17	19978236	19978730	T	702.0852904118974
chr2	232928486	232928912	T	701.0418158910525
chr14	60515360	60515671	T	700.6756677231488
chr22	46414668	46415180	T	700.4896582224037
chr1	1700153	1700471	T	699.2612207563807
chr2	54557603	54557890	T	698.9212639109305
chr2	124361964	124362397	N	698.3673416079573
chr3	152835668	152836139	T	696.9414836144133
chr19	43753436	43753901	T	694.9144017746135
chr16	67661114	67661626	T	692.3229718395887
chr20	6880326	6880792	N	687.3423561935806
chr6	10555818	10556300	N	685.886406338298
chr14	98524924	98525262	N	685.4563858213442
chr16	89324276	89324682	T	684.5750042904497
chr8	114504050	114504465	N	684.1275465744488
chr2	45013702	45014197	T	683.9065288608854
chr1	3287443	3287952	N	682.4512534673595
chr13	98567972	98568368	T	681.5936104277271
chr16	26704004	26704327	N	678.8376997693967
chr9	136345259	136345749	N	678.386839552652
chr17	31559514	31559866	T	678.2904336998299
chr3	8767372	8767708	T	678.2298820138922
chr22	17780270	17780747	T	678.0282492906799
chr3	139677259	139677755	T	677.8483986057931
chr15	43370382	43370762	T	677.3710531375214
chr15	84817135	84817518	T	676.8263697214306
chr3	142947405	142947917	T	676.1310311924117
chr22	31107184	31107541	T	672.6845036447867
chr22	16677690	16677963	N	670.7890295835259
chr1	217134868	217135341	T	670.1589666797536
chr1	120197213	120197603	T	669.908796791111
chr11	65407615	65408096	T	669.2103823773091
chr7	136630416	136630691	N	668.5989890124429
chr1	164548913	164549370	N	668.5930171708096
chr15	61443948	61444217	N	667.5107773987324
chr4	164559076	164559502	N	667.3470769599089
chr8	92369761	92370187	N	666.3325439195651
chr3	158732346	158732790	T	665.8783848910152
chr4	119455704	119456181	N	665.7631651401898
chrX	25012899	25013319	T	662.1670279415125
chr3	51955918	51956253	T	660.0571616017296
chr14	22822341	22822758	T	658.1080300312706
chr17	2057832	2058123	T	656.3116014323086
chr1	6455440	6455811	T	656.1972765294095
chr14	99301713	99301986	N	655.4307444884544
chr8	14146637	14147022	N	655.2837368947303
chrUn_GL000220v1	151891	152264	N	655.1666290799621
chr1	169460153	169460460	T	654.8593013194768
chr3	112185633	112186045	T	653.9691324529722
chr10	129967244	129967709	T	653.4013083343716
chr8	69832396	69832863	T	652.7684444825272
chr12	13101568	13102015	T	651.8070912519315
chr7	142690181	142690440	N	649.2211521412878
chr4	140780442	140780807	N	648.7379022157656
chr12	121248607	121248985	T	648.6481510640629
chr19	1227532	1227901	N	648.57056250593
chr1	213983363	213983866	T	647.0379608416915
chr5	80569304	80569715	T	646.9323913502876
chr17	31138482	31138817	T	646.363415677868
chr1	110211726	110212009	T	645.5879288186725
chr13	33110712	33111060	T	645.4848925644965
chr8	39107338	39107680	T	645.4104454189128
chr9	93960420	93960830	T	643.6832303530255
chr7	139434373	139434857	T	643.6513855579374
chr14	22886380	22886891	T	643.4455773513291
chr7	29989942	29990322	T	643.3546434426726
chr15	78264467	78264630	T	642.2219786145884
chr3	6490507	6490929	N	641.4646769027845
chr16	72627294	72627720	N	640.5554035864784
chr4	176692131	176692605	N	640.0995638660752
chr19	48443123	48443356	T	639.9747496772188
chr13	49220421	49220794	T	639.7744968351262
chr22	38701589	38701914	T	639.3028172795366
chr3	56759207	56759535	T	638.4831151139624
chr8	110181645	110181881	N	637.1523309000904
chr5	177498104	177498569	T	636.9311561736913
chr5	38631264	38631759	N	634.6758127566754
chr11	61955066	61955553	T	634.0044334984896
chr11	70434214	70434590	T	633.7191890480353
chr5	139394139	139394384	T	633.6930259541505
chr7	139714485	139714925	T	633.6633813411945
chr1	29121308	29121649	T	633.0249919048802
chr1	145872142	145872523	T	632.9302547585708
chr21	8216794	8216894	N	632.4613707456083
chr1	161611240	161611640	N	631.8982866008782
chr2	23387126	23387405	T	631.5885195129285
chr10	83841784	83842065	N	631.4292832407118
chr5	124936387	124936862	T	630.9001103769874
chr8	41646320	41646698	T	630.327697748663
chr3	77769360	77769705	N	628.0896790949855
chr10	118755667	118756164	T	626.697266155621
chr1	94540992	94541495	T	626.4744250150025
chr7	73399394	73399898	T	626.4190708419255
chr7	136419766	136420210	N	624.9396600009532
chr19	58562185	58562638	T	624.1465661142929
chr3	101701151	101701622	T	623.9675220042723
chr7	49896754	49897194	N	623.8185130702241
chr15	28096940	28097401	T	623.4349803522846
chr16	15395956	15396436	T	623.2459501244302
chr3	127915212	127915699	T	622.9984309895099
chr10	100829454	100829728	T	622.6133559609216
chr8	15217038	15217487	N	622.2226315723037
chr1	116418781	116419122	T	622.1078584153956
chr14	22980881	22981374	T	621.4929769740002
chr6	28616298	28616666	T	620.3406635577721
chr5	73436295	73436730	T	620.0710453555184
chr17	27104750	27105176	N	619.2055235849148
chr16	67648493	67648724	N	617.9039365826309
chr5	1702196	1702690	N	617.891022553044
chr6	30716253	30716629	T	617.7581686998096
chr9	24753683	24753952	N	617.6262680616305
chr2	10304202	10304631	T	617.2787913194124
chr2	16599265	16599737	N	616.8262501751087
chr17	47423766	47424109	T	615.7059339042053
chr7	61725411	61725693	N	613.4239602804282
chr5	111757916	111758427	T	611.9674809299827
chr8	144266130	144266439	T	611.1236283167937
chr18	31353549	31353996	N	610.593814160758
chr21	37006051	37006558	T	610.0378836318555
chr2	3703859	3704311	N	609.8053348827252
chr16	88691981	88692457	T	609.3661508368159
chr8	11708775	11709190	T	608.1748849445121
chr13	107818593	107818866	N	607.7482183237253
chr5	55821699	55822137	T	607.7346282106491
chr17	49850723	49851150	T	607.2183293177222
chr2	176172018	176172398	T	607.1997794917124
chr12	47426923	47427349	N	606.9055162938148
chr3	53846382	53846845	T	606.5729684157604
chr22	46536955	46537241	T	606.4593132746568
chr11	67446469	67446894	T	606.0543992930925
chr13	54572253	54572722	N	605.3293264670365
chr9	136847028	136847256	T	604.9778477794453
chr5	73436933	73437435	T	604.7416270943895
chr7	58057390	58057876	N	602.82669981857
chr1	176261628	176262091	N	602.4119236621982
chr3	49485054	49485403	N	602.0621647428143
chr14	57600413	57600670	N	601.5498112189075
chr1	179743955	179744229	T	601.0771400539516
chr13	72610282	72610700	N	600.2235116086404
chr14	102930165	102930418	T	599.3035107083228
chr11	133313866	133314227	N	598.4879867489485
