chr	start	end	ctype	areaStat
chr1	160084096	160084438	T	1290.7986499012522
chr1	155062653	155063161	T	1159.2341221064771
chr19	14089345	14089805	T	1152.950928160797
chr14	60642354	60642704	T	1097.7001740347823
chr6	34465878	34466384	T	1044.3586458292857
chr4	80203281	80203728	T	1042.327105442754
chr6	5086170	5086682	T	1026.0673739972754
chr15	96984293	96984710	N	968.4642640101364
chr8	142464331	142464816	T	958.695695452192
chr4	166850454	166850879	N	935.9273078892184
chr20	55083932	55084408	N	933.346101750316
chr1	179645145	179645469	N	932.8799510211164
chr11	133289316	133289828	N	902.1881305334136
chr2	239945039	239945543	T	899.5379058265426
chr9	71912465	71912874	N	887.8333642615735
chr4	178015050	178015522	N	866.5040920373604
chr3	49006667	49007089	T	864.677365394733
chr16	26484078	26484351	N	851.3846338616431
chr16	69965452	69965907	T	845.739750644705
chr9	84140704	84141184	T	840.1340016339263
chr7	123527894	123528288	N	827.152002758361
chr3	48040192	48040632	N	817.6782399306458
chr3	45146047	45146395	T	816.9915161073886
chr14	40954492	40954934	N	815.662579188237
chr2	24010083	24010579	T	813.3588766168759
chr3	132951552	132952015	N	805.2160015617837
chr5	77077351	77077714	T	801.1849890735475
chr13	49220828	49221202	T	798.7245388141173
chr1	160789748	160790108	T	779.800049522205
chr5	173232554	173232887	T	775.9486285300154
chr5	31639609	31640047	T	774.7992034439803
chr22	41799742	41800206	T	774.532198997018
chr8	143950579	143950955	N	765.4135641537941
chr7	32464525	32465028	N	756.9759124756165
chr22	34540142	34540423	N	753.666820722684
chr1	16692514	16692906	T	751.0892694352497
chr10	92239734	92240029	T	744.058004069037
chr19	3576792	3577279	T	739.9855187541853
chr4	57717163	57717467	N	734.5461056595623
chr3	65508120	65508360	N	734.1598776828278
chr15	62164371	62164743	T	732.0996794453754
chr17	7589320	7589626	T	730.5698654319481
chr1	39639502	39639795	T	730.0068070220264
chr2	176071814	176072153	T	729.5667673636408
chr8	144266516	144266818	T	722.5632042838006
chr19	2251307	2251616	T	720.7246636726318
chr12	100199329	100199716	T	720.4277883675031
chr7	142267446	142267777	N	720.3625935329919
chr16	71224583	71224856	N	720.3559386208854
chr3	65509311	65509736	N	719.9273134472005
chr2	153719467	153719930	N	710.6282349554058
chr6	18122388	18122837	T	706.6638803293063
chr17	19978236	19978730	T	702.0852904118974
